,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,61103,1527.575
1,Payment,2016-01-26 11:04:23,-40403,
2,Billed,2016-02-14 09:33:12,19313,482.825
3,Payment,2016-02-26 11:04:23,-26946,
4,Billed,2016-03-14 09:33:12,66140,1653.5
5,Payment,2016-03-26 11:04:23,-41727,
6,Billed,2016-04-14 09:33:12,81174,2029.35
7,Payment,2016-04-26 11:04:23,-75165,
8,Billed,2016-05-14 09:33:12,48641,1216.025
9,Payment,2016-05-26 11:04:23,-15677,
10,Billed,2016-06-14 09:33:12,54981,1374.525
11,Payment,2016-06-26 11:04:23,-53658,
12,Billed,2016-07-14 09:33:12,41999,1049.975
13,Payment,2016-07-26 11:04:23,-33823,
14,Billed,2016-08-14 09:33:12,83894,2097.35
15,Payment,2016-08-26 11:04:23,-56032,
16,Billed,2016-09-14 09:33:12,80179,2004.475
17,Payment,2016-09-26 11:04:23,-82000,
18,Billed,2016-10-14 09:33:12,12033,300.825
19,Payment,2016-10-26 11:04:23,-36516,
20,Billed,2016-11-14 09:33:12,5378,134.45
21,Payment,2016-11-26 11:04:23,-81364,
22,Billed,2016-12-14 09:33:12,97709,2442.725
23,Payment,2016-12-26 11:04:23,-76999,
24,Billed,2017-01-14 09:33:12,64293,1607.325
25,Payment,2017-01-26 11:04:23,-98295,
26,Billed,2017-02-14 09:33:12,83102,2077.55
27,Payment,2017-02-26 11:04:23,-53553,
28,Billed,2017-03-14 09:33:12,24147,603.675
29,Payment,2017-03-26 11:04:23,-63560,
30,Billed,2017-04-14 09:33:12,72023,1800.575
31,Payment,2017-04-26 11:04:23,-28992,
32,Billed,2017-05-14 09:33:12,62325,1558.125
33,Payment,2017-05-26 11:04:23,-91160,
34,Billed,2017-06-14 09:33:12,7937,198.425
35,Payment,2017-06-26 11:04:23,-47981,
36,Billed,2017-07-14 09:33:12,81924,2048.1
37,Payment,2017-07-26 11:04:23,-81982,
38,Billed,2017-08-14 09:33:12,82459,2061.475
39,Payment,2017-08-26 11:04:23,-64057,
40,Billed,2017-09-14 09:33:12,76745,1918.625
41,Payment,2017-09-26 11:04:23,-75795,
42,Billed,2017-10-14 09:33:12,99539,2488.475
43,Payment,2017-10-26 11:04:23,-39660,
44,Billed,2017-11-14 09:33:12,30795,769.875
45,Payment,2017-11-26 11:04:23,-91704,
46,Billed,2017-12-14 09:33:12,11819,295.475
47,Payment,2017-12-26 11:04:23,-43948,
48,Billed,2018-01-14 09:33:12,73437,1835.925
49,Payment,2018-01-26 11:04:23,-81577,
50,Billed,2018-02-14 09:33:12,45747,1143.675
51,Payment,2018-02-26 11:04:23,-91727,
52,Billed,2018-03-14 09:33:12,37718,942.95
53,Payment,2018-03-26 11:04:23,-17871,
54,Billed,2018-04-14 09:33:12,7189,179.725
55,Payment,2018-04-26 11:04:23,-86429,
56,Billed,2018-05-14 09:33:12,31471,786.775
57,Payment,2018-05-26 11:04:23,-15043,
58,Billed,2018-06-14 09:33:12,30262,756.55
59,Payment,2018-06-26 11:04:23,-88407,
60,Billed,2018-07-14 09:33:12,5281,132.025
61,Payment,2018-07-26 11:04:23,-88910,
62,Billed,2018-08-14 09:33:12,71539,1788.475
63,Payment,2018-08-26 11:04:23,-47508,
