,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,35939,898.475
1,Payment,2016-01-26 11:04:23,-14192,
2,Billed,2016-02-14 09:33:12,89359,2233.975
3,Payment,2016-02-26 11:04:23,-91093,
4,Billed,2016-03-14 09:33:12,41418,1035.45
5,Payment,2016-03-26 11:04:23,-96296,
6,Billed,2016-04-14 09:33:12,82958,2073.95
7,Payment,2016-04-26 11:04:23,-31254,
8,Billed,2016-05-14 09:33:12,36700,917.5
9,Payment,2016-05-26 11:04:23,-70212,
10,Billed,2016-06-14 09:33:12,31458,786.45
11,Payment,2016-06-26 11:04:23,-70150,
12,Billed,2016-07-14 09:33:12,8090,202.25
13,Payment,2016-07-26 11:04:23,-37739,
14,Billed,2016-08-14 09:33:12,86233,2155.825
15,Payment,2016-08-26 11:04:23,-44334,
16,Billed,2016-09-14 09:33:12,16450,411.25
17,Payment,2016-09-26 11:04:23,-78650,
18,Billed,2016-10-14 09:33:12,3047,76.175
19,Payment,2016-10-26 11:04:23,-25073,
20,Billed,2016-11-14 09:33:12,16864,421.6
21,Payment,2016-11-26 11:04:23,-72188,
22,Billed,2016-12-14 09:33:12,18660,466.5
23,Payment,2016-12-26 11:04:23,-98382,
24,Billed,2017-01-14 09:33:12,79240,1981.0
25,Payment,2017-01-26 11:04:23,-40180,
26,Billed,2017-02-14 09:33:12,69681,1742.025
27,Payment,2017-02-26 11:04:23,-67048,
28,Billed,2017-03-14 09:33:12,31648,791.2
29,Payment,2017-03-26 11:04:23,-86487,
30,Billed,2017-04-14 09:33:12,78074,1951.85
31,Payment,2017-04-26 11:04:23,-65701,
32,Billed,2017-05-14 09:33:12,51562,1289.05
33,Payment,2017-05-26 11:04:23,-31018,
34,Billed,2017-06-14 09:33:12,98838,2470.95
35,Payment,2017-06-26 11:04:23,-92148,
36,Billed,2017-07-14 09:33:12,53028,1325.7
37,Payment,2017-07-26 11:04:23,-43039,
38,Billed,2017-08-14 09:33:12,4476,111.9
39,Payment,2017-08-26 11:04:23,-97205,
40,Billed,2017-09-14 09:33:12,58397,1459.925
41,Payment,2017-09-26 11:04:23,-33011,
42,Billed,2017-10-14 09:33:12,81269,2031.725
43,Payment,2017-10-26 11:04:23,-24440,
44,Billed,2017-11-14 09:33:12,92009,2300.225
45,Payment,2017-11-26 11:04:23,-46165,
46,Billed,2017-12-14 09:33:12,48241,1206.025
47,Payment,2017-12-26 11:04:23,-77677,
48,Billed,2018-01-14 09:33:12,98768,2469.2
49,Payment,2018-01-26 11:04:23,-61331,
50,Billed,2018-02-14 09:33:12,98744,2468.6
51,Payment,2018-02-26 11:04:23,-11684,
52,Billed,2018-03-14 09:33:12,33084,827.1
53,Payment,2018-03-26 11:04:23,-26820,
54,Billed,2018-04-14 09:33:12,6224,155.6
55,Payment,2018-04-26 11:04:23,-41425,
56,Billed,2018-05-14 09:33:12,18755,468.875
57,Payment,2018-05-26 11:04:23,-36432,
58,Billed,2018-06-14 09:33:12,50401,1260.025
59,Payment,2018-06-26 11:04:23,-77398,
60,Billed,2018-07-14 09:33:12,66357,1658.925
61,Payment,2018-07-26 11:04:23,-43739,
62,Billed,2018-08-14 09:33:12,80197,2004.925
63,Payment,2018-08-26 11:04:23,-98646,
64,Billed,2018-09-14 09:33:12,83373,2084.325
65,Payment,2018-09-26 11:04:23,-33479,
