,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,64973,1624.325
1,Payment,2016-01-26 11:04:23,-42784,
2,Billed,2016-02-14 09:33:12,17680,442.0
3,Payment,2016-02-26 11:04:23,-15847,
4,Billed,2016-03-14 09:33:12,45632,1140.8
5,Payment,2016-03-26 11:04:23,-94841,
6,Billed,2016-04-14 09:33:12,38098,952.45
7,Payment,2016-04-26 11:04:23,-13604,
8,Billed,2016-05-14 09:33:12,62631,1565.775
9,Payment,2016-05-26 11:04:23,-17148,
10,Billed,2016-06-14 09:33:12,80199,2004.975
11,Payment,2016-06-26 11:04:23,-41700,
12,Billed,2016-07-14 09:33:12,75379,1884.475
13,Payment,2016-07-26 11:04:23,-74382,
14,Billed,2016-08-14 09:33:12,31701,792.525
15,Payment,2016-08-26 11:04:23,-34262,
16,Billed,2016-09-14 09:33:12,2355,58.875
17,Payment,2016-09-26 11:04:23,-74103,
18,Billed,2016-10-14 09:33:12,54010,1350.25
19,Payment,2016-10-26 11:04:23,-73149,
20,Billed,2016-11-14 09:33:12,51392,1284.8
21,Payment,2016-11-26 11:04:23,-26938,
22,Billed,2016-12-14 09:33:12,30912,772.8
23,Payment,2016-12-26 11:04:23,-51819,
24,Billed,2017-01-14 09:33:12,26465,661.625
25,Payment,2017-01-26 11:04:23,-44998,
26,Billed,2017-02-14 09:33:12,46745,1168.625
27,Payment,2017-02-26 11:04:23,-87741,
28,Billed,2017-03-14 09:33:12,5139,128.475
29,Payment,2017-03-26 11:04:23,-55039,
30,Billed,2017-04-14 09:33:12,47806,1195.15
31,Payment,2017-04-26 11:04:23,-77504,
32,Billed,2017-05-14 09:33:12,10342,258.55
33,Payment,2017-05-26 11:04:23,-26523,
34,Billed,2017-06-14 09:33:12,16892,422.3
35,Payment,2017-06-26 11:04:23,-66336,
36,Billed,2017-07-14 09:33:12,63849,1596.225
37,Payment,2017-07-26 11:04:23,-31426,
38,Billed,2017-08-14 09:33:12,63897,1597.425
39,Payment,2017-08-26 11:04:23,-31392,
40,Billed,2017-09-14 09:33:12,9364,234.1
41,Payment,2017-09-26 11:04:23,-44021,
42,Billed,2017-10-14 09:33:12,28244,706.1
43,Payment,2017-10-26 11:04:23,-66420,
44,Billed,2017-11-14 09:33:12,14485,362.125
45,Payment,2017-11-26 11:04:23,-41594,
46,Billed,2017-12-14 09:33:12,88168,2204.2
47,Payment,2017-12-26 11:04:23,-96998,
48,Billed,2018-01-14 09:33:12,73550,1838.75
49,Payment,2018-01-26 11:04:23,-45726,
50,Billed,2018-02-14 09:33:12,18849,471.225
51,Payment,2018-02-26 11:04:23,-26190,
52,Billed,2018-03-14 09:33:12,53408,1335.2
53,Payment,2018-03-26 11:04:23,-44753,
54,Billed,2018-04-14 09:33:12,52770,1319.25
55,Payment,2018-04-26 11:04:23,-90257,
56,Billed,2018-05-14 09:33:12,30857,771.425
57,Payment,2018-05-26 11:04:23,-8024,
58,Billed,2018-06-14 09:33:12,59656,1491.4
59,Payment,2018-06-26 11:04:23,-90914,
60,Billed,2018-07-14 09:33:12,81911,2047.775
61,Payment,2018-07-26 11:04:23,-62391,
62,Billed,2018-08-14 09:33:12,70677,1766.925
63,Payment,2018-08-26 11:04:23,-41116,
64,Billed,2018-09-14 09:33:12,62838,1570.95
65,Payment,2018-09-26 11:04:23,-98935,
66,Billed,2018-10-14 09:33:12,13880,347.0
67,Payment,2018-10-26 11:04:23,-68434,
68,Billed,2018-11-14 09:33:12,69900,1747.5
69,Payment,2018-11-26 11:04:23,-51304,
70,Billed,2018-12-14 09:33:12,49712,1242.8
71,Payment,2018-12-26 11:04:23,-99574,
72,Billed,2019-01-14 09:33:12,84491,2112.275
73,Payment,2019-01-26 11:04:23,-43222,
74,Billed,2019-02-14 09:33:12,94167,2354.175
75,Payment,2019-02-26 11:04:23,-49229,
76,Billed,2019-03-14 09:33:12,42838,1070.95
77,Payment,2019-03-26 11:04:23,-55966,
78,Billed,2019-04-14 09:33:12,79852,1996.3
79,Payment,2019-04-26 11:04:23,-20469,
80,Billed,2019-05-14 09:33:12,84032,2100.8
81,Payment,2019-05-26 11:04:23,-70703,
82,Billed,2019-06-14 09:33:12,44551,1113.775
83,Payment,2019-06-26 11:04:23,-80035,
84,Billed,2019-07-14 09:33:12,98916,2472.9
85,Payment,2019-07-26 11:04:23,-64384,
86,Billed,2019-08-14 09:33:12,36484,912.1
87,Payment,2019-08-26 11:04:23,-58855,
88,Billed,2019-09-14 09:33:12,14753,368.825
89,Payment,2019-09-26 11:04:23,-40656,
90,Billed,2019-10-14 09:33:12,88838,2220.95
91,Payment,2019-10-26 11:04:23,-18298,
92,Billed,2019-11-14 09:33:12,96256,2406.4
93,Payment,2019-11-26 11:04:23,-77835,
94,Billed,2019-12-14 09:33:12,52859,1321.475
95,Payment,2019-12-26 11:04:23,-32504,
96,Billed,2020-01-14 09:33:12,78229,1955.725
97,Payment,2020-01-26 11:04:23,-46832,
98,Billed,2020-02-14 09:33:12,36395,909.875
99,Payment,2020-02-26 11:04:23,-82549,
100,Billed,2020-03-14 09:33:12,58744,1468.6
101,Payment,2020-03-26 11:04:23,-60628,
102,Billed,2020-04-14 09:33:12,73898,1847.45
103,Payment,2020-04-26 11:04:23,-47510,
104,Billed,2020-05-14 09:33:12,33250,831.25
105,Payment,2020-05-26 11:04:23,-37656,
106,Billed,2020-06-14 09:33:12,81929,2048.225
107,Payment,2020-06-26 11:04:23,-34101,
108,Billed,2020-07-14 09:33:12,7141,178.525
109,Payment,2020-07-26 11:04:23,-62026,
110,Billed,2020-08-14 09:33:12,65536,1638.4
111,Payment,2020-08-26 11:04:23,-23398,
112,Billed,2020-09-14 09:33:12,97756,2443.9
113,Payment,2020-09-26 11:04:23,-40569,
114,Billed,2020-10-14 09:33:12,54306,1357.65
115,Payment,2020-10-26 11:04:23,-68760,
116,Billed,2020-11-14 09:33:12,85237,2130.925
117,Payment,2020-11-26 11:04:23,-47902,
