,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,69653,1741.325
1,Payment,2016-01-26 11:04:23,-36647,
2,Billed,2016-02-14 09:33:12,40500,1012.5
3,Payment,2016-02-26 11:04:23,-12052,
4,Billed,2016-03-14 09:33:12,19451,486.275
5,Payment,2016-03-26 11:04:23,-28763,
6,Billed,2016-04-14 09:33:12,35072,876.8
7,Payment,2016-04-26 11:04:23,-16595,
8,Billed,2016-05-14 09:33:12,53209,1330.225
9,Payment,2016-05-26 11:04:23,-87022,
10,Billed,2016-06-14 09:33:12,43101,1077.525
11,Payment,2016-06-26 11:04:23,-20626,
12,Billed,2016-07-14 09:33:12,4660,116.5
13,Payment,2016-07-26 11:04:23,-75880,
14,Billed,2016-08-14 09:33:12,15984,399.6
15,Payment,2016-08-26 11:04:23,-40999,
16,Billed,2016-09-14 09:33:12,59785,1494.625
17,Payment,2016-09-26 11:04:23,-28970,
18,Billed,2016-10-14 09:33:12,64504,1612.6
19,Payment,2016-10-26 11:04:23,-28905,
20,Billed,2016-11-14 09:33:12,30273,756.825
21,Payment,2016-11-26 11:04:23,-31667,
22,Billed,2016-12-14 09:33:12,55696,1392.4
23,Payment,2016-12-26 11:04:23,-73922,
24,Billed,2017-01-14 09:33:12,8783,219.575
25,Payment,2017-01-26 11:04:23,-55496,
26,Billed,2017-02-14 09:33:12,59504,1487.6
27,Payment,2017-02-26 11:04:23,-12111,
28,Billed,2017-03-14 09:33:12,37814,945.35
29,Payment,2017-03-26 11:04:23,-52462,
30,Billed,2017-04-14 09:33:12,24231,605.775
31,Payment,2017-04-26 11:04:23,-54620,
32,Billed,2017-05-14 09:33:12,6110,152.75
33,Payment,2017-05-26 11:04:23,-41395,
34,Billed,2017-06-14 09:33:12,29403,735.075
35,Payment,2017-06-26 11:04:23,-25969,
36,Billed,2017-07-14 09:33:12,63682,1592.05
37,Payment,2017-07-26 11:04:23,-98783,
38,Billed,2017-08-14 09:33:12,70889,1772.225
39,Payment,2017-08-26 11:04:23,-41676,
40,Billed,2017-09-14 09:33:12,25187,629.675
41,Payment,2017-09-26 11:04:23,-84307,
42,Billed,2017-10-14 09:33:12,42328,1058.2
43,Payment,2017-10-26 11:04:23,-56211,
44,Billed,2017-11-14 09:33:12,83777,2094.425
45,Payment,2017-11-26 11:04:23,-18475,
46,Billed,2017-12-14 09:33:12,59507,1487.675
47,Payment,2017-12-26 11:04:23,-38624,
48,Billed,2018-01-14 09:33:12,12335,308.375
49,Payment,2018-01-26 11:04:23,-42423,
50,Billed,2018-02-14 09:33:12,76229,1905.725
51,Payment,2018-02-26 11:04:23,-32002,
52,Billed,2018-03-14 09:33:12,84131,2103.275
53,Payment,2018-03-26 11:04:23,-13990,
54,Billed,2018-04-14 09:33:12,50930,1273.25
55,Payment,2018-04-26 11:04:23,-35062,
56,Billed,2018-05-14 09:33:12,8633,215.825
57,Payment,2018-05-26 11:04:23,-90570,
58,Billed,2018-06-14 09:33:12,87655,2191.375
59,Payment,2018-06-26 11:04:23,-4782,
60,Billed,2018-07-14 09:33:12,18330,458.25
61,Payment,2018-07-26 11:04:23,-81062,
62,Billed,2018-08-14 09:33:12,29985,749.625
63,Payment,2018-08-26 11:04:23,-58739,
64,Billed,2018-09-14 09:33:12,6735,168.375
65,Payment,2018-09-26 11:04:23,-22492,
66,Billed,2018-10-14 09:33:12,54062,1351.55
67,Payment,2018-10-26 11:04:23,-67006,
68,Billed,2018-11-14 09:33:12,94215,2355.375
69,Payment,2018-11-26 11:04:23,-4617,
70,Billed,2018-12-14 09:33:12,41855,1046.375
71,Payment,2018-12-26 11:04:23,-60439,
72,Billed,2019-01-14 09:33:12,85271,2131.775
73,Payment,2019-01-26 11:04:23,-2038,
74,Billed,2019-02-14 09:33:12,19160,479.0
75,Payment,2019-02-26 11:04:23,-95376,
76,Billed,2019-03-14 09:33:12,72002,1800.05
77,Payment,2019-03-26 11:04:23,-59789,
78,Billed,2019-04-14 09:33:12,64622,1615.55
79,Payment,2019-04-26 11:04:23,-73855,
80,Billed,2019-05-14 09:33:12,67787,1694.675
81,Payment,2019-05-26 11:04:23,-12001,
82,Billed,2019-06-14 09:33:12,72092,1802.3
83,Payment,2019-06-26 11:04:23,-70654,
84,Billed,2019-07-14 09:33:12,35610,890.25
85,Payment,2019-07-26 11:04:23,-98219,
86,Billed,2019-08-14 09:33:12,33842,846.05
87,Payment,2019-08-26 11:04:23,-23703,
88,Billed,2019-09-14 09:33:12,99848,2496.2
89,Payment,2019-09-26 11:04:23,-47411,
90,Billed,2019-10-14 09:33:12,22962,574.05
91,Payment,2019-10-26 11:04:23,-39887,
92,Billed,2019-11-14 09:33:12,94870,2371.75
93,Payment,2019-11-26 11:04:23,-36684,
94,Billed,2019-12-14 09:33:12,66708,1667.7
95,Payment,2019-12-26 11:04:23,-35191,
96,Billed,2020-01-14 09:33:12,44523,1113.075
97,Payment,2020-01-26 11:04:23,-14390,
98,Billed,2020-02-14 09:33:12,15898,397.45
99,Payment,2020-02-26 11:04:23,-78351,
100,Billed,2020-03-14 09:33:12,14720,368.0
101,Payment,2020-03-26 11:04:23,-74997,
102,Billed,2020-04-14 09:33:12,29491,737.275
103,Payment,2020-04-26 11:04:23,-57647,
104,Billed,2020-05-14 09:33:12,37137,928.425
105,Payment,2020-05-26 11:04:23,-2858,
106,Billed,2020-06-14 09:33:12,4084,102.1
107,Payment,2020-06-26 11:04:23,-20182,
108,Billed,2020-07-14 09:33:12,48414,1210.35
109,Payment,2020-07-26 11:04:23,-59334,
110,Billed,2020-08-14 09:33:12,96699,2417.475
111,Payment,2020-08-26 11:04:23,-88597,
112,Billed,2020-09-14 09:33:12,35793,894.825
113,Payment,2020-09-26 11:04:23,-97756,
114,Billed,2020-10-14 09:33:12,41705,1042.625
115,Payment,2020-10-26 11:04:23,-57011,
116,Billed,2020-11-14 09:33:12,43017,1075.425
117,Payment,2020-11-26 11:04:23,-90315,
118,Billed,2020-12-14 09:33:12,48546,1213.65
119,Payment,2020-12-26 11:04:23,-75121,
120,Billed,2021-01-14 09:33:12,13766,344.15
121,Payment,2021-01-26 11:04:23,-12438,
122,Billed,2021-02-14 09:33:12,27014,675.35
123,Payment,2021-02-26 11:04:23,-19608,
124,Billed,2021-03-14 09:33:12,73595,1839.875
125,Payment,2021-03-26 11:04:23,-47969,
126,Billed,2021-04-14 09:33:12,88481,2212.025
127,Payment,2021-04-26 11:04:23,-87586,
128,Billed,2021-05-14 09:33:12,74357,1858.925
129,Payment,2021-05-26 11:04:23,-41341,
130,Billed,2021-06-14 09:33:12,88367,2209.175
131,Payment,2021-06-26 11:04:23,-14935,
132,Billed,2021-07-14 09:33:12,85319,2132.975
133,Payment,2021-07-26 11:04:23,-39001,
134,Billed,2021-08-14 09:33:12,97624,2440.6
135,Payment,2021-08-26 11:04:23,-76872,
