,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,40711,1017.775
1,Payment,2016-01-26 11:04:23,-49133,
2,Billed,2016-02-14 09:33:12,2573,64.325
3,Payment,2016-02-26 11:04:23,-53859,
4,Billed,2016-03-14 09:33:12,15321,383.025
5,Payment,2016-03-26 11:04:23,-66819,
6,Billed,2016-04-14 09:33:12,99880,2497.0
7,Payment,2016-04-26 11:04:23,-90843,
8,Billed,2016-05-14 09:33:12,62238,1555.95
9,Payment,2016-05-26 11:04:23,-45539,
10,Billed,2016-06-14 09:33:12,41286,1032.15
11,Payment,2016-06-26 11:04:23,-18429,
12,Billed,2016-07-14 09:33:12,8028,200.7
13,Payment,2016-07-26 11:04:23,-14597,
14,Billed,2016-08-14 09:33:12,64242,1606.05
15,Payment,2016-08-26 11:04:23,-43848,
16,Billed,2016-09-14 09:33:12,52180,1304.5
17,Payment,2016-09-26 11:04:23,-50997,
18,Billed,2016-10-14 09:33:12,57165,1429.125
19,Payment,2016-10-26 11:04:23,-86236,
20,Billed,2016-11-14 09:33:12,45648,1141.2
21,Payment,2016-11-26 11:04:23,-57807,
22,Billed,2016-12-14 09:33:12,21913,547.825
23,Payment,2016-12-26 11:04:23,-93936,
24,Billed,2017-01-14 09:33:12,32366,809.15
25,Payment,2017-01-26 11:04:23,-35335,
26,Billed,2017-02-14 09:33:12,25379,634.475
27,Payment,2017-02-26 11:04:23,-75009,
28,Billed,2017-03-14 09:33:12,46965,1174.125
29,Payment,2017-03-26 11:04:23,-54290,
30,Billed,2017-04-14 09:33:12,44952,1123.8
31,Payment,2017-04-26 11:04:23,-27530,
32,Billed,2017-05-14 09:33:12,61296,1532.4
33,Payment,2017-05-26 11:04:23,-74956,
34,Billed,2017-06-14 09:33:12,35335,883.375
35,Payment,2017-06-26 11:04:23,-17292,
36,Billed,2017-07-14 09:33:12,66041,1651.025
37,Payment,2017-07-26 11:04:23,-26373,
38,Billed,2017-08-14 09:33:12,19418,485.45
39,Payment,2017-08-26 11:04:23,-22745,
40,Billed,2017-09-14 09:33:12,48966,1224.15
41,Payment,2017-09-26 11:04:23,-14902,
42,Billed,2017-10-14 09:33:12,85896,2147.4
43,Payment,2017-10-26 11:04:23,-94705,
44,Billed,2017-11-14 09:33:12,61536,1538.4
45,Payment,2017-11-26 11:04:23,-94753,
46,Billed,2017-12-14 09:33:12,23450,586.25
47,Payment,2017-12-26 11:04:23,-13099,
48,Billed,2018-01-14 09:33:12,15041,376.025
49,Payment,2018-01-26 11:04:23,-57575,
50,Billed,2018-02-14 09:33:12,51794,1294.85
51,Payment,2018-02-26 11:04:23,-84159,
52,Billed,2018-03-14 09:33:12,3345,83.625
53,Payment,2018-03-26 11:04:23,-35498,
54,Billed,2018-04-14 09:33:12,3952,98.8
55,Payment,2018-04-26 11:04:23,-51016,
56,Billed,2018-05-14 09:33:12,52110,1302.75
57,Payment,2018-05-26 11:04:23,-49640,
58,Billed,2018-06-14 09:33:12,14223,355.575
59,Payment,2018-06-26 11:04:23,-97958,
