,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,42225,1055.625
1,Payment,2016-01-26 11:04:23,-43850,
2,Billed,2016-02-14 09:33:12,84389,2109.725
3,Payment,2016-02-26 11:04:23,-32757,
4,Billed,2016-03-14 09:33:12,80844,2021.1
5,Payment,2016-03-26 11:04:23,-84901,
6,Billed,2016-04-14 09:33:12,52718,1317.95
7,Payment,2016-04-26 11:04:23,-54351,
8,Billed,2016-05-14 09:33:12,91387,2284.675
9,Payment,2016-05-26 11:04:23,-54343,
10,Billed,2016-06-14 09:33:12,74711,1867.775
11,Payment,2016-06-26 11:04:23,-43045,
12,Billed,2016-07-14 09:33:12,58104,1452.6
13,Payment,2016-07-26 11:04:23,-20150,
14,Billed,2016-08-14 09:33:12,60607,1515.175
15,Payment,2016-08-26 11:04:23,-68904,
16,Billed,2016-09-14 09:33:12,2385,59.625
17,Payment,2016-09-26 11:04:23,-8066,
18,Billed,2016-10-14 09:33:12,20634,515.85
19,Payment,2016-10-26 11:04:23,-13276,
20,Billed,2016-11-14 09:33:12,23876,596.9
21,Payment,2016-11-26 11:04:23,-74973,
22,Billed,2016-12-14 09:33:12,9647,241.175
23,Payment,2016-12-26 11:04:23,-66464,
24,Billed,2017-01-14 09:33:12,74762,1869.05
25,Payment,2017-01-26 11:04:23,-33851,
26,Billed,2017-02-14 09:33:12,39341,983.525
27,Payment,2017-02-26 11:04:23,-53301,
28,Billed,2017-03-14 09:33:12,23542,588.55
29,Payment,2017-03-26 11:04:23,-47950,
30,Billed,2017-04-14 09:33:12,16783,419.575
31,Payment,2017-04-26 11:04:23,-53872,
32,Billed,2017-05-14 09:33:12,72404,1810.1
33,Payment,2017-05-26 11:04:23,-57795,
34,Billed,2017-06-14 09:33:12,12722,318.05
35,Payment,2017-06-26 11:04:23,-4061,
36,Billed,2017-07-14 09:33:12,53752,1343.8
37,Payment,2017-07-26 11:04:23,-16394,
38,Billed,2017-08-14 09:33:12,69496,1737.4
39,Payment,2017-08-26 11:04:23,-75151,
40,Billed,2017-09-14 09:33:12,90416,2260.4
41,Payment,2017-09-26 11:04:23,-98820,
42,Billed,2017-10-14 09:33:12,98323,2458.075
43,Payment,2017-10-26 11:04:23,-33964,
44,Billed,2017-11-14 09:33:12,14221,355.525
45,Payment,2017-11-26 11:04:23,-8592,
46,Billed,2017-12-14 09:33:12,39617,990.425
47,Payment,2017-12-26 11:04:23,-32372,
48,Billed,2018-01-14 09:33:12,26624,665.6
49,Payment,2018-01-26 11:04:23,-12487,
50,Billed,2018-02-14 09:33:12,46730,1168.25
51,Payment,2018-02-26 11:04:23,-48530,
52,Billed,2018-03-14 09:33:12,80459,2011.475
53,Payment,2018-03-26 11:04:23,-79528,
54,Billed,2018-04-14 09:33:12,51207,1280.175
55,Payment,2018-04-26 11:04:23,-78825,
56,Billed,2018-05-14 09:33:12,58168,1454.2
57,Payment,2018-05-26 11:04:23,-98612,
58,Billed,2018-06-14 09:33:12,76383,1909.575
59,Payment,2018-06-26 11:04:23,-26337,
60,Billed,2018-07-14 09:33:12,79080,1977.0
61,Payment,2018-07-26 11:04:23,-35236,
62,Billed,2018-08-14 09:33:12,20196,504.9
63,Payment,2018-08-26 11:04:23,-56169,
64,Billed,2018-09-14 09:33:12,79082,1977.05
65,Payment,2018-09-26 11:04:23,-90364,
66,Billed,2018-10-14 09:33:12,3264,81.6
67,Payment,2018-10-26 11:04:23,-80381,
68,Billed,2018-11-14 09:33:12,87884,2197.1
69,Payment,2018-11-26 11:04:23,-86446,
70,Billed,2018-12-14 09:33:12,16871,421.775
71,Payment,2018-12-26 11:04:23,-35660,
72,Billed,2019-01-14 09:33:12,70850,1771.25
73,Payment,2019-01-26 11:04:23,-4300,
74,Billed,2019-02-14 09:33:12,69479,1736.975
75,Payment,2019-02-26 11:04:23,-74562,
76,Billed,2019-03-14 09:33:12,12139,303.475
77,Payment,2019-03-26 11:04:23,-64034,
78,Billed,2019-04-14 09:33:12,34427,860.675
79,Payment,2019-04-26 11:04:23,-18699,
80,Billed,2019-05-14 09:33:12,4232,105.8
81,Payment,2019-05-26 11:04:23,-79674,
82,Billed,2019-06-14 09:33:12,35542,888.55
83,Payment,2019-06-26 11:04:23,-27757,
84,Billed,2019-07-14 09:33:12,66696,1667.4
85,Payment,2019-07-26 11:04:23,-4607,
86,Billed,2019-08-14 09:33:12,91908,2297.7
87,Payment,2019-08-26 11:04:23,-22025,
88,Billed,2019-09-14 09:33:12,17718,442.95
89,Payment,2019-09-26 11:04:23,-35616,
90,Billed,2019-10-14 09:33:12,83867,2096.675
91,Payment,2019-10-26 11:04:23,-11969,
92,Billed,2019-11-14 09:33:12,27175,679.375
93,Payment,2019-11-26 11:04:23,-40577,
94,Billed,2019-12-14 09:33:12,14686,367.15
95,Payment,2019-12-26 11:04:23,-35964,
96,Billed,2020-01-14 09:33:12,34710,867.75
97,Payment,2020-01-26 11:04:23,-80465,
98,Billed,2020-02-14 09:33:12,10301,257.525
99,Payment,2020-02-26 11:04:23,-43815,
100,Billed,2020-03-14 09:33:12,63373,1584.325
101,Payment,2020-03-26 11:04:23,-34787,
102,Billed,2020-04-14 09:33:12,70729,1768.225
103,Payment,2020-04-26 11:04:23,-21640,
104,Billed,2020-05-14 09:33:12,83259,2081.475
105,Payment,2020-05-26 11:04:23,-14614,
106,Billed,2020-06-14 09:33:12,47638,1190.95
107,Payment,2020-06-26 11:04:23,-32013,
108,Billed,2020-07-14 09:33:12,39943,998.575
109,Payment,2020-07-26 11:04:23,-13452,
110,Billed,2020-08-14 09:33:12,16421,410.525
111,Payment,2020-08-26 11:04:23,-89732,
112,Billed,2020-09-14 09:33:12,91703,2292.575
113,Payment,2020-09-26 11:04:23,-77605,
114,Billed,2020-10-14 09:33:12,25767,644.175
115,Payment,2020-10-26 11:04:23,-81776,
116,Billed,2020-11-14 09:33:12,2428,60.7
117,Payment,2020-11-26 11:04:23,-38268,
118,Billed,2020-12-14 09:33:12,66111,1652.775
119,Payment,2020-12-26 11:04:23,-76615,
120,Billed,2021-01-14 09:33:12,67336,1683.4
121,Payment,2021-01-26 11:04:23,-96051,
122,Billed,2021-02-14 09:33:12,63103,1577.575
123,Payment,2021-02-26 11:04:23,-48962,
124,Billed,2021-03-14 09:33:12,7649,191.225
125,Payment,2021-03-26 11:04:23,-62249,
126,Billed,2021-04-14 09:33:12,75523,1888.075
127,Payment,2021-04-26 11:04:23,-10607,
128,Billed,2021-05-14 09:33:12,36028,900.7
129,Payment,2021-05-26 11:04:23,-75580,
130,Billed,2021-06-14 09:33:12,3586,89.65
131,Payment,2021-06-26 11:04:23,-84518,
132,Billed,2021-07-14 09:33:12,8657,216.425
133,Payment,2021-07-26 11:04:23,-48769,
134,Billed,2021-08-14 09:33:12,77758,1943.95
135,Payment,2021-08-26 11:04:23,-97483,
136,Billed,2021-09-14 09:33:12,16678,416.95
137,Payment,2021-09-26 11:04:23,-99918,
138,Billed,2021-10-14 09:33:12,70588,1764.7
139,Payment,2021-10-26 11:04:23,-7427,
140,Billed,2021-11-14 09:33:12,77575,1939.375
141,Payment,2021-11-26 11:04:23,-66658,
142,Billed,2021-12-14 09:33:12,31225,780.625
143,Payment,2021-12-26 11:04:23,-45186,
144,Billed,2022-01-14 09:33:12,82586,2064.65
145,Payment,2022-01-26 11:04:23,-62818,
