,Type,Date,Amount,Unit
0,Vend,2016-01-14 09:33:12,50460,1261.5
1,Vend,2016-02-14 09:33:12,42057,1051.425
2,Vend,2016-03-14 09:33:12,10704,267.6
3,Vend,2016-04-14 09:33:12,45553,1138.825
4,Vend,2016-05-14 09:33:12,87268,2181.7
5,Vend,2016-06-14 09:33:12,43650,1091.25
6,Vend,2016-07-14 09:33:12,14811,370.275
7,Vend,2016-08-14 09:33:12,42719,1067.975
8,Vend,2016-09-14 09:33:12,39467,986.675
9,Vend,2016-10-14 09:33:12,96106,2402.65
10,Vend,2016-11-14 09:33:12,60559,1513.975
11,Vend,2016-12-14 09:33:12,14230,355.75
12,Vend,2017-01-14 09:33:12,38029,950.725
13,Vend,2017-02-14 09:33:12,74126,1853.15
14,Vend,2017-03-14 09:33:12,21146,528.65
15,Vend,2017-04-14 09:33:12,87282,2182.05
16,Vend,2017-05-14 09:33:12,82824,2070.6
17,Vend,2017-06-14 09:33:12,6579,164.475
18,Vend,2017-07-14 09:33:12,61637,1540.925
19,Vend,2017-08-14 09:33:12,60362,1509.05
20,Vend,2017-09-14 09:33:12,14606,365.15
21,Vend,2017-10-14 09:33:12,64483,1612.075
22,Vend,2017-11-14 09:33:12,48120,1203.0
23,Vend,2017-12-14 09:33:12,39943,998.575
24,Vend,2018-01-14 09:33:12,70816,1770.4
25,Vend,2018-02-14 09:33:12,39503,987.575
26,Vend,2018-03-14 09:33:12,88157,2203.925
27,Vend,2018-04-14 09:33:12,85025,2125.625
28,Vend,2018-05-14 09:33:12,51042,1276.05
29,Vend,2018-06-14 09:33:12,37632,940.8
30,Vend,2018-07-14 09:33:12,67250,1681.25
31,Vend,2018-08-14 09:33:12,51839,1295.975
32,Vend,2018-09-14 09:33:12,91414,2285.35
33,Vend,2018-10-14 09:33:12,60390,1509.75
34,Vend,2018-11-14 09:33:12,44353,1108.825
35,Vend,2018-12-14 09:33:12,2316,57.9
36,Vend,2019-01-14 09:33:12,59051,1476.275
37,Vend,2019-02-14 09:33:12,5938,148.45
38,Vend,2019-03-14 09:33:12,22665,566.625
39,Vend,2019-04-14 09:33:12,36521,913.025
40,Vend,2019-05-14 09:33:12,33959,848.975
41,Vend,2019-06-14 09:33:12,11657,291.425
42,Vend,2019-07-14 09:33:12,21473,536.825
43,Vend,2019-08-14 09:33:12,86486,2162.15
44,Vend,2019-09-14 09:33:12,23529,588.225
45,Vend,2019-10-14 09:33:12,30709,767.725
46,Vend,2019-11-14 09:33:12,84717,2117.925
47,Vend,2019-12-14 09:33:12,76796,1919.9
48,Vend,2020-01-14 09:33:12,29549,738.725
49,Vend,2020-02-14 09:33:12,92362,2309.05
50,Vend,2020-03-14 09:33:12,99955,2498.875
51,Vend,2020-04-14 09:33:12,99517,2487.925
52,Vend,2020-05-14 09:33:12,66826,1670.65
53,Vend,2020-06-14 09:33:12,76422,1910.55
54,Vend,2020-07-14 09:33:12,18728,468.2
55,Vend,2020-08-14 09:33:12,42539,1063.475
56,Vend,2020-09-14 09:33:12,60054,1501.35
57,Vend,2020-10-14 09:33:12,97181,2429.525
58,Vend,2020-11-14 09:33:12,31044,776.1
59,Vend,2020-12-14 09:33:12,16072,401.8
60,Vend,2021-01-14 09:33:12,28863,721.575
61,Vend,2021-02-14 09:33:12,80637,2015.925
62,Vend,2021-03-14 09:33:12,2356,58.9
63,Vend,2021-04-14 09:33:12,70241,1756.025
64,Vend,2021-05-14 09:33:12,69619,1740.475
65,Vend,2021-06-14 09:33:12,71494,1787.35
66,Vend,2021-07-14 09:33:12,10309,257.725
67,Vend,2021-08-14 09:33:12,10692,267.3
68,Vend,2021-09-14 09:33:12,47557,1188.925
69,Vend,2021-10-14 09:33:12,76249,1906.225
70,Vend,2021-11-14 09:33:12,68464,1711.6
71,Vend,2021-12-14 09:33:12,22004,550.1
72,Vend,2022-01-14 09:33:12,41211,1030.275
