,Type,Date,Amount,Unit
0,Vend,2016-01-14 09:33:12,65838,1645.95
1,Vend,2016-02-14 09:33:12,43070,1076.75
2,Vend,2016-03-14 09:33:12,31485,787.125
3,Vend,2016-04-14 09:33:12,78669,1966.725
4,Vend,2016-05-14 09:33:12,94912,2372.8
5,Vend,2016-06-14 09:33:12,73152,1828.8
6,Vend,2016-07-14 09:33:12,65544,1638.6
7,Vend,2016-08-14 09:33:12,14153,353.825
8,Vend,2016-09-14 09:33:12,35450,886.25
9,Vend,2016-10-14 09:33:12,85894,2147.35
10,Vend,2016-11-14 09:33:12,55484,1387.1
11,Vend,2016-12-14 09:33:12,91694,2292.35
12,Vend,2017-01-14 09:33:12,21299,532.475
13,Vend,2017-02-14 09:33:12,61545,1538.625
14,Vend,2017-03-14 09:33:12,60309,1507.725
15,Vend,2017-04-14 09:33:12,21143,528.575
16,Vend,2017-05-14 09:33:12,78894,1972.35
17,Vend,2017-06-14 09:33:12,72987,1824.675
18,Vend,2017-07-14 09:33:12,44515,1112.875
19,Vend,2017-08-14 09:33:12,15565,389.125
20,Vend,2017-09-14 09:33:12,53224,1330.6
21,Vend,2017-10-14 09:33:12,51815,1295.375
22,Vend,2017-11-14 09:33:12,48110,1202.75
23,Vend,2017-12-14 09:33:12,17721,443.025
24,Vend,2018-01-14 09:33:12,76268,1906.7
25,Vend,2018-02-14 09:33:12,84949,2123.725
26,Vend,2018-03-14 09:33:12,96479,2411.975
27,Vend,2018-04-14 09:33:12,98324,2458.1
28,Vend,2018-05-14 09:33:12,99374,2484.35
29,Vend,2018-06-14 09:33:12,38271,956.775
30,Vend,2018-07-14 09:33:12,92599,2314.975
31,Vend,2018-08-14 09:33:12,46604,1165.1
32,Vend,2018-09-14 09:33:12,10167,254.175
33,Vend,2018-10-14 09:33:12,66875,1671.875
34,Vend,2018-11-14 09:33:12,40885,1022.125
35,Vend,2018-12-14 09:33:12,19770,494.25
36,Vend,2019-01-14 09:33:12,62036,1550.9
37,Vend,2019-02-14 09:33:12,99539,2488.475
38,Vend,2019-03-14 09:33:12,62781,1569.525
39,Vend,2019-04-14 09:33:12,97312,2432.8
40,Vend,2019-05-14 09:33:12,63991,1599.775
41,Vend,2019-06-14 09:33:12,6953,173.825
42,Vend,2019-07-14 09:33:12,46304,1157.6
43,Vend,2019-08-14 09:33:12,33993,849.825
44,Vend,2019-09-14 09:33:12,48160,1204.0
45,Vend,2019-10-14 09:33:12,83039,2075.975
46,Vend,2019-11-14 09:33:12,2507,62.675
47,Vend,2019-12-14 09:33:12,40861,1021.525
48,Vend,2020-01-14 09:33:12,5942,148.55
49,Vend,2020-02-14 09:33:12,37522,938.05
50,Vend,2020-03-14 09:33:12,76573,1914.325
51,Vend,2020-04-14 09:33:12,82570,2064.25
52,Vend,2020-05-14 09:33:12,74578,1864.45
53,Vend,2020-06-14 09:33:12,30181,754.525
54,Vend,2020-07-14 09:33:12,34623,865.575
55,Vend,2020-08-14 09:33:12,32403,810.075
56,Vend,2020-09-14 09:33:12,56089,1402.225
57,Vend,2020-10-14 09:33:12,58600,1465.0
58,Vend,2020-11-14 09:33:12,47332,1183.3
59,Vend,2020-12-14 09:33:12,65473,1636.825
60,Vend,2021-01-14 09:33:12,60007,1500.175
61,Vend,2021-02-14 09:33:12,35557,888.925
62,Vend,2021-03-14 09:33:12,52187,1304.675
63,Vend,2021-04-14 09:33:12,87142,2178.55
64,Vend,2021-05-14 09:33:12,76827,1920.675
65,Vend,2021-06-14 09:33:12,78689,1967.225
66,Vend,2021-07-14 09:33:12,20616,515.4
67,Vend,2021-08-14 09:33:12,94894,2372.35
68,Vend,2021-09-14 09:33:12,6058,151.45
69,Vend,2021-10-14 09:33:12,60324,1508.1
70,Vend,2021-11-14 09:33:12,92504,2312.6
71,Vend,2021-12-14 09:33:12,59926,1498.15
72,Vend,2022-01-14 09:33:12,13851,346.275
