,Type,Date,Amount,Unit
0,Vend,2016-01-14 09:33:12,52874,1321.85
1,Vend,2016-02-14 09:33:12,51725,1293.125
2,Vend,2016-03-14 09:33:12,41948,1048.7
3,Vend,2016-04-14 09:33:12,40839,1020.975
4,Vend,2016-05-14 09:33:12,51658,1291.45
5,Vend,2016-06-14 09:33:12,21787,544.675
6,Vend,2016-07-14 09:33:12,5837,145.925
7,Vend,2016-08-14 09:33:12,69669,1741.725
8,Vend,2016-09-14 09:33:12,23226,580.65
9,Vend,2016-10-14 09:33:12,71126,1778.15
10,Vend,2016-11-14 09:33:12,89982,2249.55
11,Vend,2016-12-14 09:33:12,59525,1488.125
12,Vend,2017-01-14 09:33:12,30711,767.775
13,Vend,2017-02-14 09:33:12,91491,2287.275
14,Vend,2017-03-14 09:33:12,13756,343.9
15,Vend,2017-04-14 09:33:12,91340,2283.5
16,Vend,2017-05-14 09:33:12,56917,1422.925
17,Vend,2017-06-14 09:33:12,98563,2464.075
18,Vend,2017-07-14 09:33:12,48924,1223.1
19,Vend,2017-08-14 09:33:12,61122,1528.05
20,Vend,2017-09-14 09:33:12,97654,2441.35
21,Vend,2017-10-14 09:33:12,15521,388.025
22,Vend,2017-11-14 09:33:12,82770,2069.25
23,Vend,2017-12-14 09:33:12,11950,298.75
24,Vend,2018-01-14 09:33:12,96033,2400.825
25,Vend,2018-02-14 09:33:12,86525,2163.125
26,Vend,2018-03-14 09:33:12,22011,550.275
27,Vend,2018-04-14 09:33:12,54956,1373.9
28,Vend,2018-05-14 09:33:12,53830,1345.75
29,Vend,2018-06-14 09:33:12,50592,1264.8
30,Vend,2018-07-14 09:33:12,23768,594.2
31,Vend,2018-08-14 09:33:12,83493,2087.325
32,Vend,2018-09-14 09:33:12,15449,386.225
33,Vend,2018-10-14 09:33:12,90178,2254.45
34,Vend,2018-11-14 09:33:12,41731,1043.275
35,Vend,2018-12-14 09:33:12,82664,2066.6
36,Vend,2019-01-14 09:33:12,87125,2178.125
37,Vend,2019-02-14 09:33:12,71674,1791.85
38,Vend,2019-03-14 09:33:12,5087,127.175
39,Vend,2019-04-14 09:33:12,79492,1987.3
40,Vend,2019-05-14 09:33:12,6357,158.925
41,Vend,2019-06-14 09:33:12,66911,1672.775
42,Vend,2019-07-14 09:33:12,16820,420.5
43,Vend,2019-08-14 09:33:12,66377,1659.425
44,Vend,2019-09-14 09:33:12,47926,1198.15
45,Vend,2019-10-14 09:33:12,42899,1072.475
46,Vend,2019-11-14 09:33:12,23862,596.55
47,Vend,2019-12-14 09:33:12,55235,1380.875
48,Vend,2020-01-14 09:33:12,37225,930.625
49,Vend,2020-02-14 09:33:12,39745,993.625
50,Vend,2020-03-14 09:33:12,87134,2178.35
51,Vend,2020-04-14 09:33:12,50450,1261.25
52,Vend,2020-05-14 09:33:12,91507,2287.675
53,Vend,2020-06-14 09:33:12,9002,225.05
54,Vend,2020-07-14 09:33:12,62595,1564.875
55,Vend,2020-08-14 09:33:12,73290,1832.25
56,Vend,2020-09-14 09:33:12,51362,1284.05
57,Vend,2020-10-14 09:33:12,2215,55.375
58,Vend,2020-11-14 09:33:12,13786,344.65
59,Vend,2020-12-14 09:33:12,65935,1648.375
60,Vend,2021-01-14 09:33:12,98681,2467.025
61,Vend,2021-02-14 09:33:12,36464,911.6
62,Vend,2021-03-14 09:33:12,48461,1211.525
63,Vend,2021-04-14 09:33:12,32980,824.5
64,Vend,2021-05-14 09:33:12,31122,778.05
65,Vend,2021-06-14 09:33:12,76952,1923.8
66,Vend,2021-07-14 09:33:12,3153,78.825
67,Vend,2021-08-14 09:33:12,69663,1741.575
68,Vend,2021-09-14 09:33:12,85690,2142.25
69,Vend,2021-10-14 09:33:12,43374,1084.35
70,Vend,2021-11-14 09:33:12,28488,712.2
71,Vend,2021-12-14 09:33:12,56896,1422.4
72,Vend,2022-01-14 09:33:12,7480,187.0
