,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,71080,1777.0
1,Payment,2016-01-26 11:04:23,-15862,
2,Billed,2016-02-14 09:33:12,74806,1870.15
3,Payment,2016-02-26 11:04:23,-62816,
4,Billed,2016-03-14 09:33:12,80563,2014.075
5,Payment,2016-03-26 11:04:23,-46059,
6,Billed,2016-04-14 09:33:12,12785,319.625
7,Payment,2016-04-26 11:04:23,-35997,
8,Billed,2016-05-14 09:33:12,44217,1105.425
9,Payment,2016-05-26 11:04:23,-68333,
10,Billed,2016-06-14 09:33:12,73093,1827.325
11,Payment,2016-06-26 11:04:23,-88953,
12,Billed,2016-07-14 09:33:12,38272,956.8
13,Payment,2016-07-26 11:04:23,-85184,
14,Billed,2016-08-14 09:33:12,59890,1497.25
15,Payment,2016-08-26 11:04:23,-21762,
16,Billed,2016-09-14 09:33:12,50986,1274.65
17,Payment,2016-09-26 11:04:23,-41876,
18,Billed,2016-10-14 09:33:12,48003,1200.075
19,Payment,2016-10-26 11:04:23,-81709,
20,Billed,2016-11-14 09:33:12,89606,2240.15
21,Payment,2016-11-26 11:04:23,-99421,
22,Billed,2016-12-14 09:33:12,79936,1998.4
23,Payment,2016-12-26 11:04:23,-32529,
24,Billed,2017-01-14 09:33:12,71010,1775.25
25,Payment,2017-01-26 11:04:23,-24895,
26,Billed,2017-02-14 09:33:12,35189,879.725
27,Payment,2017-02-26 11:04:23,-50543,
28,Billed,2017-03-14 09:33:12,84816,2120.4
29,Payment,2017-03-26 11:04:23,-59762,
30,Billed,2017-04-14 09:33:12,96785,2419.625
31,Payment,2017-04-26 11:04:23,-58073,
32,Billed,2017-05-14 09:33:12,85911,2147.775
33,Payment,2017-05-26 11:04:23,-45999,
34,Billed,2017-06-14 09:33:12,12456,311.4
35,Payment,2017-06-26 11:04:23,-76664,
36,Billed,2017-07-14 09:33:12,36793,919.825
37,Payment,2017-07-26 11:04:23,-63977,
38,Billed,2017-08-14 09:33:12,24719,617.975
39,Payment,2017-08-26 11:04:23,-86574,
40,Billed,2017-09-14 09:33:12,29317,732.925
41,Payment,2017-09-26 11:04:23,-99653,
42,Billed,2017-10-14 09:33:12,24430,610.75
43,Payment,2017-10-26 11:04:23,-68160,
44,Billed,2017-11-14 09:33:12,83000,2075.0
45,Payment,2017-11-26 11:04:23,-34138,
46,Billed,2017-12-14 09:33:12,7763,194.075
