,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,83266,2081.65
1,Payment,2016-01-26 11:04:23,-80763,
2,Billed,2016-02-14 09:33:12,85038,2125.95
3,Payment,2016-02-26 11:04:23,-62742,
4,Billed,2016-03-14 09:33:12,82752,2068.8
5,Payment,2016-03-26 11:04:23,-87670,
6,Billed,2016-04-14 09:33:12,40358,1008.95
7,Payment,2016-04-26 11:04:23,-39454,
8,Billed,2016-05-14 09:33:12,64802,1620.05
9,Payment,2016-05-26 11:04:23,-78294,
10,Billed,2016-06-14 09:33:12,21193,529.825
11,Payment,2016-06-26 11:04:23,-10008,
12,Billed,2016-07-14 09:33:12,12200,305.0
13,Payment,2016-07-26 11:04:23,-80235,
14,Billed,2016-08-14 09:33:12,49635,1240.875
15,Payment,2016-08-26 11:04:23,-84791,
16,Billed,2016-09-14 09:33:12,62757,1568.925
17,Payment,2016-09-26 11:04:23,-58242,
18,Billed,2016-10-14 09:33:12,38424,960.6
19,Payment,2016-10-26 11:04:23,-21125,
20,Billed,2016-11-14 09:33:12,95907,2397.675
21,Payment,2016-11-26 11:04:23,-38469,
22,Billed,2016-12-14 09:33:12,38710,967.75
23,Payment,2016-12-26 11:04:23,-18363,
24,Billed,2017-01-14 09:33:12,21134,528.35
25,Payment,2017-01-26 11:04:23,-43934,
26,Billed,2017-02-14 09:33:12,55033,1375.825
27,Payment,2017-02-26 11:04:23,-37407,
28,Billed,2017-03-14 09:33:12,26940,673.5
29,Payment,2017-03-26 11:04:23,-33006,
30,Billed,2017-04-14 09:33:12,28726,718.15
31,Payment,2017-04-26 11:04:23,-30850,
32,Billed,2017-05-14 09:33:12,29973,749.325
33,Payment,2017-05-26 11:04:23,-43707,
34,Billed,2017-06-14 09:33:12,26190,654.75
35,Payment,2017-06-26 11:04:23,-78663,
36,Billed,2017-07-14 09:33:12,7916,197.9
37,Payment,2017-07-26 11:04:23,-44140,
38,Billed,2017-08-14 09:33:12,22435,560.875
39,Payment,2017-08-26 11:04:23,-57026,
40,Billed,2017-09-14 09:33:12,69448,1736.2
41,Payment,2017-09-26 11:04:23,-99345,
42,Billed,2017-10-14 09:33:12,99458,2486.45
43,Payment,2017-10-26 11:04:23,-97726,
44,Billed,2017-11-14 09:33:12,50567,1264.175
45,Payment,2017-11-26 11:04:23,-21740,
46,Billed,2017-12-14 09:33:12,12619,315.475
47,Payment,2017-12-26 11:04:23,-16657,
48,Billed,2018-01-14 09:33:12,68236,1705.9
49,Payment,2018-01-26 11:04:23,-70942,
50,Billed,2018-02-14 09:33:12,63400,1585.0
51,Payment,2018-02-26 11:04:23,-90295,
52,Billed,2018-03-14 09:33:12,84449,2111.225
53,Payment,2018-03-26 11:04:23,-30360,
54,Billed,2018-04-14 09:33:12,33297,832.425
55,Payment,2018-04-26 11:04:23,-7965,
56,Billed,2018-05-14 09:33:12,50394,1259.85
57,Payment,2018-05-26 11:04:23,-88455,
58,Billed,2018-06-14 09:33:12,74319,1857.975
59,Payment,2018-06-26 11:04:23,-94937,
60,Billed,2018-07-14 09:33:12,69006,1725.15
61,Payment,2018-07-26 11:04:23,-39123,
62,Billed,2018-08-14 09:33:12,45853,1146.325
63,Payment,2018-08-26 11:04:23,-25279,
64,Billed,2018-09-14 09:33:12,86649,2166.225
65,Payment,2018-09-26 11:04:23,-74994,
