,Type,Date,Amount,Unit
0,Billed,2016-01-14 09:33:12,26858,671.45
1,Payment,2016-01-26 11:04:23,-23347,
2,Billed,2016-02-14 09:33:12,20258,506.45
3,Payment,2016-02-26 11:04:23,-4824,
4,Billed,2016-03-14 09:33:12,14515,362.875
5,Payment,2016-03-26 11:04:23,-54713,
6,Billed,2016-04-14 09:33:12,89156,2228.9
7,Payment,2016-04-26 11:04:23,-91154,
8,Billed,2016-05-14 09:33:12,69532,1738.3
9,Payment,2016-05-26 11:04:23,-18731,
10,Billed,2016-06-14 09:33:12,74354,1858.85
11,Payment,2016-06-26 11:04:23,-45595,
12,Billed,2016-07-14 09:33:12,29490,737.25
13,Payment,2016-07-26 11:04:23,-38957,
14,Billed,2016-08-14 09:33:12,66982,1674.55
15,Payment,2016-08-26 11:04:23,-98068,
16,Billed,2016-09-14 09:33:12,83436,2085.9
17,Payment,2016-09-26 11:04:23,-45485,
18,Billed,2016-10-14 09:33:12,33737,843.425
19,Payment,2016-10-26 11:04:23,-15416,
20,Billed,2016-11-14 09:33:12,65506,1637.65
21,Payment,2016-11-26 11:04:23,-88059,
22,Billed,2016-12-14 09:33:12,63368,1584.2
23,Payment,2016-12-26 11:04:23,-25712,
24,Billed,2017-01-14 09:33:12,37647,941.175
25,Payment,2017-01-26 11:04:23,-61053,
26,Billed,2017-02-14 09:33:12,95017,2375.425
27,Payment,2017-02-26 11:04:23,-12177,
28,Billed,2017-03-14 09:33:12,20349,508.725
29,Payment,2017-03-26 11:04:23,-7926,
30,Billed,2017-04-14 09:33:12,29637,740.925
31,Payment,2017-04-26 11:04:23,-22925,
32,Billed,2017-05-14 09:33:12,86168,2154.2
33,Payment,2017-05-26 11:04:23,-25510,
34,Billed,2017-06-14 09:33:12,27023,675.575
35,Payment,2017-06-26 11:04:23,-41877,
36,Billed,2017-07-14 09:33:12,78773,1969.325
37,Payment,2017-07-26 11:04:23,-67741,
38,Billed,2017-08-14 09:33:12,98334,2458.35
39,Payment,2017-08-26 11:04:23,-85185,
40,Billed,2017-09-14 09:33:12,69225,1730.625
41,Payment,2017-09-26 11:04:23,-78990,
42,Billed,2017-10-14 09:33:12,99996,2499.9
43,Payment,2017-10-26 11:04:23,-49510,
44,Billed,2017-11-14 09:33:12,95980,2399.5
45,Payment,2017-11-26 11:04:23,-6147,
46,Billed,2017-12-14 09:33:12,94781,2369.525
47,Payment,2017-12-26 11:04:23,-8794,
48,Billed,2018-01-14 09:33:12,28852,721.3
49,Payment,2018-01-26 11:04:23,-67005,
50,Billed,2018-02-14 09:33:12,34299,857.475
51,Payment,2018-02-26 11:04:23,-18164,
52,Billed,2018-03-14 09:33:12,44969,1124.225
53,Payment,2018-03-26 11:04:23,-74539,
54,Billed,2018-04-14 09:33:12,18603,465.075
55,Payment,2018-04-26 11:04:23,-74033,
56,Billed,2018-05-14 09:33:12,19256,481.4
57,Payment,2018-05-26 11:04:23,-8774,
58,Billed,2018-06-14 09:33:12,78423,1960.575
59,Payment,2018-06-26 11:04:23,-30233,
60,Billed,2018-07-14 09:33:12,38105,952.625
61,Payment,2018-07-26 11:04:23,-65129,
62,Billed,2018-08-14 09:33:12,42353,1058.825
63,Payment,2018-08-26 11:04:23,-35582,
64,Billed,2018-09-14 09:33:12,69162,1729.05
65,Payment,2018-09-26 11:04:23,-45114,
66,Billed,2018-10-14 09:33:12,80631,2015.775
67,Payment,2018-10-26 11:04:23,-79314,
68,Billed,2018-11-14 09:33:12,64434,1610.85
69,Payment,2018-11-26 11:04:23,-57509,
70,Billed,2018-12-14 09:33:12,58114,1452.85
71,Payment,2018-12-26 11:04:23,-44987,
72,Billed,2019-01-14 09:33:12,72859,1821.475
73,Payment,2019-01-26 11:04:23,-47645,
74,Billed,2019-02-14 09:33:12,58087,1452.175
75,Payment,2019-02-26 11:04:23,-70889,
76,Billed,2019-03-14 09:33:12,12118,302.95
77,Payment,2019-03-26 11:04:23,-33589,
78,Billed,2019-04-14 09:33:12,10107,252.675
79,Payment,2019-04-26 11:04:23,-4481,
80,Billed,2019-05-14 09:33:12,82117,2052.925
81,Payment,2019-05-26 11:04:23,-41663,
82,Billed,2019-06-14 09:33:12,4494,112.35
83,Payment,2019-06-26 11:04:23,-12005,
84,Billed,2019-07-14 09:33:12,11449,286.225
85,Payment,2019-07-26 11:04:23,-81236,
86,Billed,2019-08-14 09:33:12,3616,90.4
87,Payment,2019-08-26 11:04:23,-77301,
88,Billed,2019-09-14 09:33:12,52482,1312.05
89,Payment,2019-09-26 11:04:23,-68714,
90,Billed,2019-10-14 09:33:12,97573,2439.325
91,Payment,2019-10-26 11:04:23,-46176,
92,Billed,2019-11-14 09:33:12,36088,902.2
93,Payment,2019-11-26 11:04:23,-12297,
94,Billed,2019-12-14 09:33:12,90295,2257.375
95,Payment,2019-12-26 11:04:23,-6439,
96,Billed,2020-01-14 09:33:12,63219,1580.475
97,Payment,2020-01-26 11:04:23,-64827,
98,Billed,2020-02-14 09:33:12,86315,2157.875
99,Payment,2020-02-26 11:04:23,-93984,
100,Billed,2020-03-14 09:33:12,42890,1072.25
101,Payment,2020-03-26 11:04:23,-54217,
102,Billed,2020-04-14 09:33:12,28569,714.225
103,Payment,2020-04-26 11:04:23,-69916,
104,Billed,2020-05-14 09:33:12,11908,297.7
105,Payment,2020-05-26 11:04:23,-47582,
106,Billed,2020-06-14 09:33:12,86612,2165.3
107,Payment,2020-06-26 11:04:23,-90323,
