,Type,Date,Amount,Unit
0,Vend,2016-01-14 09:33:12,13069,326.725
1,Vend,2016-02-14 09:33:12,98311,2457.775
2,Vend,2016-03-14 09:33:12,12610,315.25
3,Vend,2016-04-14 09:33:12,45283,1132.075
4,Vend,2016-05-14 09:33:12,10039,250.975
5,Vend,2016-06-14 09:33:12,13835,345.875
6,Vend,2016-07-14 09:33:12,41242,1031.05
7,Vend,2016-08-14 09:33:12,50200,1255.0
8,Vend,2016-09-14 09:33:12,52626,1315.65
9,Vend,2016-10-14 09:33:12,47104,1177.6
10,Vend,2016-11-14 09:33:12,90226,2255.65
11,Vend,2016-12-14 09:33:12,13695,342.375
12,Vend,2017-01-14 09:33:12,93148,2328.7
13,Vend,2017-02-14 09:33:12,5422,135.55
14,Vend,2017-03-14 09:33:12,31735,793.375
15,Vend,2017-04-14 09:33:12,31338,783.45
16,Vend,2017-05-14 09:33:12,30149,753.725
17,Vend,2017-06-14 09:33:12,7851,196.275
18,Vend,2017-07-14 09:33:12,67262,1681.55
19,Vend,2017-08-14 09:33:12,10022,250.55
20,Vend,2017-09-14 09:33:12,58061,1451.525
21,Vend,2017-10-14 09:33:12,25055,626.375
22,Vend,2017-11-14 09:33:12,67119,1677.975
23,Vend,2017-12-14 09:33:12,33085,827.125
24,Vend,2018-01-14 09:33:12,42705,1067.625
25,Vend,2018-02-14 09:33:12,78477,1961.925
26,Vend,2018-03-14 09:33:12,74526,1863.15
27,Vend,2018-04-14 09:33:12,39767,994.175
28,Vend,2018-05-14 09:33:12,20760,519.0
29,Vend,2018-06-14 09:33:12,31008,775.2
30,Vend,2018-07-14 09:33:12,32313,807.825
31,Vend,2018-08-14 09:33:12,21472,536.8
32,Vend,2018-09-14 09:33:12,63403,1585.075
33,Vend,2018-10-14 09:33:12,86082,2152.05
34,Vend,2018-11-14 09:33:12,32099,802.475
35,Vend,2018-12-14 09:33:12,22323,558.075
36,Vend,2019-01-14 09:33:12,29635,740.875
37,Vend,2019-02-14 09:33:12,15220,380.5
38,Vend,2019-03-14 09:33:12,32701,817.525
39,Vend,2019-04-14 09:33:12,2343,58.575
40,Vend,2019-05-14 09:33:12,14924,373.1
41,Vend,2019-06-14 09:33:12,19558,488.95
42,Vend,2019-07-14 09:33:12,48831,1220.775
43,Vend,2019-08-14 09:33:12,8984,224.6
44,Vend,2019-09-14 09:33:12,28027,700.675
45,Vend,2019-10-14 09:33:12,10383,259.575
46,Vend,2019-11-14 09:33:12,16233,405.825
47,Vend,2019-12-14 09:33:12,16682,417.05
48,Vend,2020-01-14 09:33:12,92850,2321.25
49,Vend,2020-02-14 09:33:12,71959,1798.975
50,Vend,2020-03-14 09:33:12,66032,1650.8
51,Vend,2020-04-14 09:33:12,51068,1276.7
52,Vend,2020-05-14 09:33:12,10731,268.275
53,Vend,2020-06-14 09:33:12,66428,1660.7
54,Vend,2020-07-14 09:33:12,85098,2127.45
55,Vend,2020-08-14 09:33:12,51087,1277.175
56,Vend,2020-09-14 09:33:12,98864,2471.6
57,Vend,2020-10-14 09:33:12,2916,72.9
58,Vend,2020-11-14 09:33:12,87658,2191.45
59,Vend,2020-12-14 09:33:12,49459,1236.475
60,Vend,2021-01-14 09:33:12,93037,2325.925
61,Vend,2021-02-14 09:33:12,14874,371.85
62,Vend,2021-03-14 09:33:12,77968,1949.2
63,Vend,2021-04-14 09:33:12,82216,2055.4
64,Vend,2021-05-14 09:33:12,64930,1623.25
65,Vend,2021-06-14 09:33:12,71089,1777.225
66,Vend,2021-07-14 09:33:12,40070,1001.75
67,Vend,2021-08-14 09:33:12,72471,1811.775
68,Vend,2021-09-14 09:33:12,23895,597.375
69,Vend,2021-10-14 09:33:12,97397,2434.925
70,Vend,2021-11-14 09:33:12,4156,103.9
71,Vend,2021-12-14 09:33:12,86146,2153.65
72,Vend,2022-01-14 09:33:12,50320,1258.0
